smiles,xtb_ip,unbiased,sources
CC(C)(C)C(NC(=O)c1ccc(C(F)(F)F)nc1)C(N)=O,12.972800,1,labels
CC(=O)N1CCc2cc(C(=O)OCC(F)F)ccc21,12.960100,1,labels
CC(=O)c1ccc(-n2nnc3ccccc32)c(F)c1,12.954500,1,labels
N#Cc1ccc(NC(=O)c2cc(F)ccc2O)cc1,12.954200,1,random
CC(C)(C)OC(=O)n1cc(C(C)(C)C#N)c2cc(F)ccc21,12.951200,1,labels
CC(C)(C)c1noc(CCCC(=O)OC2CCCC2)n1,12.950100,1,labels
CC(C)(C)COC(=O)c1cccc(OCC(F)F)n1,12.942700,1,labels
NC(=O)Cn1cnc2c(nnn2-c2ccccc2)c1=O,12.933100,1,labels
N#Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,12.932000,1,labels
COc1cc(C(F)(F)F)nc(-c2ccccn2)n1,12.930400,1,labels
O=C(c1ccc(C(F)(F)F)cc1)N1CCOC2CCCCC21,12.929300,1,labels
CC(=O)c1c(-c2cc(F)ccc2F)cnn(C)c1=O,12.922600,1,random
N#Cc1nc(N)n(CC(=O)Nc2ccc(F)cc2F)c1C#N,12.920200,1,labels
CC(=O)NC(C)(C)c1noc(-c2nn(CC(C)C)cc2C(F)F)n1,12.919900,1,labels
O=C(CO)NC1CC(=O)N(Cc2cccc(F)c2)C1,12.899400,1,labels
CCn1nc(-c2cccc(F)c2)cc(C(C)=O)c1=O,12.899000,1,labels
N#Cc1ccc(NC(=O)c2noc3c2CCC3)cc1,12.896100,1,labels
O=c1[nH]cnc2c1cnn2C1OC(CO)C(O)C1O,12.895500,1,random
CCn1cc(C(=O)OCC2(C#N)CCOCC2)cn1,12.892600,1,labels
CCC(C)(C)COC(=O)c1ncn(-c2ccccc2)n1,12.892100,1,labels
Cc1cccc(C(=O)N2CCN(C(=O)CC(F)(F)F)CC2)c1,12.891100,1,labels
O=C(CCc1ccc(F)c(F)c1)Nc1cn[nH]c1,12.882800,1,labels
CCc1cc(=O)oc2cc(OCC(=O)NCC(F)(F)F)ccc12,12.873500,1,labels
COC(=O)C(O)C(NC(=O)OC(C)(C)C)c1ccc(F)cc1,12.867600,1,labels
CC12CCC(c3nc4ccccc4n3C1=O)C2(C)C,12.867000,1,labels
CC1CCCCN1C(=O)CCNC(=O)CC(F)(F)F,12.866900,1,labels
N#Cc1ccc(F)c(C2NCCc3ccc(F)c(F)c32)c1,12.863900,1,random
N#CC(NC(=O)Cc1ccc(F)cc1)c1ccccn1,12.858800,1,labels
Cc1nc2n(n1)C(c1cc(F)cc(F)c1)C1C(=O)CC(C)(C)CC1=N2,12.851600,1,labels
N#Cc1cccc(-c2nc(-c3ccc(O)cc3)no2)c1,12.849300,1,labels
CC12OCC(c3ccccc3)N1C(=O)c1ccccc12,12.845400,1,labels
CCOC(=O)c1cnn(C2CCCN(C(=O)C3(C#N)CCC3)C2)c1,12.839800,1,labels
CCC(C)NC(=O)c1ccc(OC(F)F)c(OC)c1,12.834800,1,labels
O=C(NC1CCCCC1O)c1ccc(F)cc1F,12.829300,1,labels
Cc1ccccc1Cn1nnc(C#N)c1-c1ccco1,12.826500,1,labels
Cc1cc(NC(=O)c2ccc(-n3ccnn3)cc2)no1,12.822600,1,labels
CC(C)(C)NC(=O)NCc1nnnn1-c1cccc(F)c1,12.821200,1,random
CC(=O)c1cccc(COC(=O)c2oc(C)nc2C)c1,12.821000,1,labels
COC(=O)NCC(=O)NC(c1cccc(C(F)(F)F)c1)C(C)C,12.816500,1,labels
O=C(Cn1cnnn1)NCc1ccc(-n2cncn2)cc1,12.812600,1,labels
Cc1nnnn1-c1cccc(NC(=O)Cn2cnnn2)c1,12.811000,1,labels
CCCc1c(C#N)nnn1-c1ccc(OCC)cc1,12.809800,1,labels
N#Cc1cccc(CN2C(=O)OCC2C(=O)NCCc2ccccc2)c1,12.795200,1,labels
Cc1cnc(C(=O)Oc2cccc(C(F)(F)F)c2)cn1,12.792800,1,labels
CCc1nc2c(-c3ccccc3)noc2c(=O)n1CC(=O)OC,12.789500,1,labels
CC1CCCN(C(=O)Cn2c(C(F)(F)F)nc3ccccc32)C1,12.783400,1,labels
O=C(CCC(F)(F)F)N1CCCCC1CCn1cccn1,12.783100,1,labels
NC(=O)CCN(Cc1ccccc1)C(=O)c1c(F)cccc1F,12.780800,1,labels
CC(O)(CNC(=O)Nc1ccc(C(F)(F)F)cc1)C1CC1,12.777100,1,labels
O=C(OC1CCCC1)c1cc2ccccc2c(=O)[nH]1,12.776500,1,labels
CCC(=O)OCc1ccc(OC(F)F)c(OC)c1,12.774300,1,labels
Cc1ccc(-c2cc(C(=O)NC(C#N)C(C)(C)C)on2)cc1,12.772300,1,labels
COc1ccc(-c2cc(C#N)c(=O)n(C)n2)cc1F,12.771100,1,labels
C#CCNC(=O)Cn1cnc2c(oc3ccccc32)c1=O,12.770400,1,labels
NC(c1cccc(OCc2cccc(F)c2)c1)C(F)(F)F,12.769600,1,labels
CCC(C)n1ncc(C(=O)Nc2ccc(F)c(C#N)c2)c1C1CC1,12.769400,0,static
CCC(C#N)Oc1cccc(CNC(=O)c2cccc(F)c2F)c1,12.766700,1,labels
C=CCNC(=O)Cc1cc(-c2ccccc2F)on1,12.765600,1,labels
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,12.762100,1,labels
CCOC(=O)c1cccc2c(=O)c(C(C)=O)c[nH]c12,12.760600,1,labels
CCOC1CCCN(C(=O)c2ccc(F)cc2)C1,12.757200,1,labels
Cc1oncc1C(=O)N1CCCC2(CCC(=O)N2)CC1,12.755800,1,labels
FC(F)(F)c1ccccc1Cn1cnc2cccnc21,12.752300,1,random
CCOC(=O)C1C(C)=NC(C(=O)OCCO)=C1C,12.750600,1,labels
COC(=O)c1cn(C2CCCCC2OC(=O)c2cnn(C)c2)nn1,12.749000,1,labels
O=C(Nc1nc2ccc(F)cn2n1)c1ncn(-c2ccccc2)n1,12.746700,1,labels
O=C(c1ccoc1)N1CCCCC1c1ccc(F)cc1,12.745400,1,labels
COC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F,12.745300,1,random
CC12CCC(C(=O)Oc3cccnc3)(OC1=O)C2(C)C,12.744500,1,labels
O=C(c1cc(=O)[nH]c2ccccc12)N1CCOCC1,12.742700,1,labels
Cc1nn(CCC#N)c(N)c1C(C)(O)C(F)(F)F,12.741000,1,labels
CN(CCOCC1CC1)C(=O)Nc1cc(F)c(F)cc1F,12.737900,1,labels
CC(C)N(CCO)C(=O)CCc1ccc(F)c(F)c1,12.734900,1,labels
O=C(CN1CCCC1=O)Nc1cc(C(F)(F)F)c[nH]c1=O,12.734100,1,labels
N#Cc1ccc(NC(=O)NC2CCC(=O)NC2)cc1,12.728600,1,labels
O=C(Cc1ccccc1)NCC(=O)c1ccc(F)cc1,12.728100,1,labels
COC(=O)c1cnn2c(C(F)F)cc(-c3ccc(C)cc3)nc12,12.726800,1,labels
CCCCC(=O)Oc1ccc2cc(C(=O)NC(C)C)c(=O)oc2c1,12.722400,0,static
N#Cc1cccc(C(=O)Nc2cccc(-c3nnnn3C3CC3)c2)c1,12.718900,1,labels
CC(C)(C)CC(=O)NCC(=O)Nc1cccc(F)c1F,12.718000,1,labels
COC(=O)c1ccc(-c2nc(OC)cc(OC)n2)cc1,12.717400,1,labels
Fc1ccccc1Cc1nc(-c2ccncc2)no1,12.712900,0,static
Cc1noc(NC(=O)c2ccc(OCc3c(C)noc3C)cc2)n1,12.712800,1,labels
CCCC(C)(C)NC(=O)c1cnc2onc(C)c2c1,12.712200,1,labels
Cc1noc(CNCC(O)c2cccc(C(F)(F)F)c2)n1,12.711900,1,labels
CN(C(=O)COc1ccccc1C#N)c1cccc(F)c1,12.708200,1,labels
Cn1c(=O)oc2cc(-c3noc(-c4ccccc4)n3)ccc21,12.707300,1,labels
N#Cc1ccccc1NC(=O)c1cccc2c1OCC(=O)N2,12.705700,1,labels
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,12.705400,1,random
O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,12.704500,1,labels
N#Cc1ccc(-c2noc(C3CC=CCC3)n2)nc1,12.703200,1,labels
COC(=O)c1cc(NC(=O)NCc2ccco2)c(F)cc1F,12.701400,1,labels
Cc1ccc(-n2ccc3c(cnc4ncnn43)c2=O)cc1,12.699500,1,labels
CN(C)C(=O)NC(Nc1ncccn1)(C(F)(F)F)C(F)(F)F,12.698700,1,labels
Cc1ccccc1C(C#N)CC(=O)Nc1ccc(F)cc1,12.697200,1,labels
N#Cc1c(C(F)(F)F)cc(-c2ccccc2)nc1N1CCOCC1,12.695500,1,labels
CCC(=O)c1ccc(OC(=O)c2ccc(C(N)=O)cc2)cc1,12.694400,1,random
CCN(Cc1c(F)cccc1F)C(=O)c1cc(=O)c2ccccc2o1,12.693000,1,labels
CC(COCc1ncc[nH]1)C(=O)c1ccc(F)c(F)c1,12.692700,1,labels
CC(C)NC(=O)CCNc1ncnc2cc(F)c(F)cc12,12.692400,1,labels
Nc1ncccc1C(=O)Nc1cccc(C(F)(F)F)c1,12.689100,1,random
CC(C)Cc1cc(C(=O)N2CCn3cncc3C2)on1,12.685000,1,labels
O=C(Nc1cccc(OC(F)(F)F)c1)NC1C2CCC(C2)C1CO,12.684200,1,labels
COC(=O)C1CCCC1NC(=O)Nc1ccc(C#N)cc1,12.684200,1,labels
N#Cc1cccc(OCC(=O)Nc2ccccc2)c1,12.684000,1,labels
CCOC(=O)Nc1cccc(C(=O)OCc2cc(C)on2)c1,12.681500,1,labels
CN(Cc1nccn1C(F)F)C(=O)c1ccc(-n2ccnn2)cc1,12.678400,1,labels
CCC(C(=O)N1CC2CC1C(=O)O2)c1ccccc1,12.677100,1,labels
CCCOc1ccc(-c2cc(C(=O)OC)no2)cc1,12.677100,1,labels
CC(C)(C)NC(=O)CCNC(=O)c1ccc(F)cc1,12.675800,1,labels
CN1C(=O)CCC(C(=O)Oc2ccc(F)cc2)C1c1cnn(C)c1,12.674700,1,labels
CCCOC(=O)C(NC(=O)c1cccc(C)c1)C(C)C,12.673900,1,labels
O=C(Cn1ccc(=O)[nH]c1=O)NCC12CC3CC(CC(C3)C1)C2,12.669600,1,labels
CC1COCC(C)N1C(=O)c1ccc(=O)n(-c2ccc(F)cc2)n1,12.668900,1,labels
O=c1c2nnc3ncnn3c2ccn1-c1ccccn1,12.668500,1,labels
CC1CC(OC(=O)CN2CCCC2=O)CC(C)(C)C1,12.668500,1,labels
CC(=O)NC1CCN(c2ccc(C#N)c(C(F)(F)F)c2)CC1,12.668100,1,random
O=C(CCC1CCCC1)NCc1nnnn1-c1ccccc1,12.668100,0,static
CC(OC(=O)CCn1c(=O)oc2ccccc21)C(=O)NC1CCCC1,12.666900,1,random
CCCNC(=O)C(C)NC(=O)Nc1cccc(F)c1F,12.666600,1,labels
CC1(CNC(=O)c2ccc(=O)n(-c3ccc(F)cc3)n2)CCCC1,12.665000,1,labels
N#Cc1cn(C2CC2)c(=O)n(CC(=O)N(C2CCCC2)C2CC2)c1=O,12.662400,1,labels
O=C(Nc1ccc(OC(F)(F)F)cc1)C1CCCN1C(=O)C1CC1,12.661700,1,random
CCOc1cc(C#N)ccc1OCc1nnc(C)o1,12.660300,1,labels
O=C(CC1C=CCC1)NCc1cccc(C(F)(F)F)c1,12.660000,1,labels
Cc1nnnn1C(Cc1ccc(F)cc1)C(=O)NCc1ncn(C)n1,12.655600,1,labels
CC1CCCN(C(=O)Nc2cccc(F)c2F)CC1,12.654700,1,labels
CCn1nnnc1COc1cccc(C(=O)NC(C)C)c1,12.654600,1,random
N#Cc1ccccc1C(=O)N1CCC(Oc2cccc(F)c2)CC1,12.653900,1,labels
CCOc1ccc(F)c(C(=O)Nc2ccccc2-n2cnnn2)c1F,12.649900,1,random
CN(C)C(=O)c1cc(C(=O)NC(C)(C)C)ccc1F,12.649000,0,static
Cc1nnc2n1-c1cc(F)ccc1C(c1ccc(F)cc1)CC2,12.647000,1,labels
CC(C)Cn1ccn(-c2cccc(F)c2)c(=O)c1=O,12.643100,1,labels
O=C(Cc1ccccc1)NCCC(=O)Oc1ccccc1F,12.641700,1,labels
COC(=O)C(NC(=O)c1ccc(C(C)=O)cc1)c1ccccc1,12.640700,1,labels
COC(=O)c1ccc(NC(=O)COc2cccc(C#N)c2)cc1,12.639600,1,labels
CCOC(=O)c1ccc2c(=O)c(C(=O)OCC)c[nH]c2c1,12.639300,1,labels
CC(C(=O)NC1CCc2cc(F)ccc21)n1cccn1,12.639100,1,labels
CC(=O)Oc1ccc(C(=O)Nc2ccc(C(=O)OC(C)C)cc2)cc1,12.636500,1,labels
COCc1nc2ncc3c(=O)n(-c4nc[nH]n4)ccc3n2n1,12.635700,1,labels
CCC(C)C(C)NC(=O)c1ccc(OCC(F)F)nc1,12.635400,1,labels
CC(=O)c1ccccc1NC(=O)c1cc(-c2ccccc2)no1,12.635200,1,labels
O=C(OCc1nnc(-c2ccccc2)o1)c1cc2ccccc2o1,12.635200,1,labels
COc1cccc(OCCn2nc(C(F)(F)F)ccc2=O)c1,12.634900,1,labels
CC(=O)Nc1cccc(-c2cc(O)cc(C#N)c2)c1,12.634000,1,labels
O=C(NC(C1CC1)C1CC1)c1cc2ccccc2oc1=O,12.633300,1,labels
COC(=O)CCC(=O)NC1CC2CC1C1CCCC21,12.630300,1,labels
CC1CN(C(=O)CCn2ccc(=O)[nH]c2=O)CCC1(C)O,12.629200,1,labels
COC(=O)c1cc(C(=O)Nc2cccc(F)c2)c(=O)[nH]c1C,12.629100,1,labels
CC(C)C(=O)c1ccccc1NC(=O)C1CC2CCC1O2,12.629000,1,labels
N#CC(NC(=O)c1cnn(-c2ccccc2)c1)C1CCCCC1,12.628700,1,random
CC(Cc1cccc(F)c1)C(=O)NCCCC(N)=O,12.628400,1,labels
CCCC(=O)NCC(=O)OCC(=O)N1CCCCCC1,12.628100,1,labels
O=C(CC1OC(=O)c2ccccc21)NCc1ccc(-n2cccn2)nc1,12.627100,1,random
CC(C)CNC(=O)c1ccc2c(c1)C(=O)CCCO2,12.626600,1,labels
O=C(OC1CCOC1=O)c1cc2ccccc2cc1O,12.625700,1,labels
CCn1nc(-c2nc(-c3ccncc3)no2)ccc1=O,12.623900,1,labels
O=c1[nH]c2ccc(-c3nc(-c4ccncc4)no3)cc2[nH]c1=O,12.623600,1,labels
C#CCCOC(=O)c1ccc(NC(=O)C(C)C)cc1,12.622300,1,labels
COC(=O)Cc1nn(CC(=O)OC)c(=O)c2ccccc12,12.620900,1,random
Cc1c(NC(=O)C2(C#N)CCC2)cccc1N1CCOC1=O,12.620800,1,labels
CC(C)OCCC(=O)N(Cc1ccc(C#N)cc1)C(C)C,12.620500,0,static
CC(NC(=O)CCNC(=O)c1ccc(F)cc1F)c1ccccc1,12.620300,1,labels
CC1(C)C(=O)OC(C(=O)c2ccccc2)C2(CCCCC2)C1=O,12.619300,1,labels
Cc1ccc(CNC(=O)c2nnc(Cc3cccc(F)c3)o2)cc1,12.619100,1,labels
CCOC(=O)N1CCC(OC(=O)CCc2ccccc2F)CC1,12.614000,1,labels
O=C(Nc1cccc(-n2cnnc2)c1)c1ccoc1,12.612000,1,labels
CCC(=O)Nc1ccc(C(=O)COc2ccc(F)cc2F)cc1,12.611700,1,labels
CCN(Cc1ccccc1)C(=O)C1CN(C(C)=O)C1,12.611600,1,labels
Cc1cc(C(=O)Nc2nc(C(=O)NCc3ccccc3F)co2)no1,12.608000,1,random
CCn1nnc2c(=O)n(CC(=O)N3CCOCC3)cnc21,12.607600,1,labels
Cc1cc2ncn(-c3nnnn3-c3ccccc3)c2cc1C,12.607000,1,labels
N#Cc1ccc(-c2noc(Cn3ncc4ccccc4c3=O)n2)nc1,12.605300,1,labels
CCC(C)C(NC(=O)C(C)Oc1cccc(F)c1)C(N)=O,12.604100,1,random
Cc1cccc(OC(=O)c2ccc(-n3ccnn3)cc2)c1,12.603300,1,labels
O=C(Cc1noc(-c2cn(-c3ccccc3)nn2)n1)NC1CCCC1,12.602700,1,labels
CCC(=O)N1CCC(Oc2cccc(F)c2)CC1,12.601100,1,labels
CCOc1cc(C#N)ccc1OCC(=O)NC1CC1,12.601000,1,labels
CN(Cc1ccccc1C(F)(F)F)C(=O)Nc1ccccn1,12.600000,1,random
O=C(Cc1c(F)cccc1F)Oc1ccc(C(=O)N2CCCC2)cc1,12.599100,1,labels
COC(=O)C1=C(C)Nc2ncnn2C1c1ccoc1,12.597600,1,labels
CCOC(=O)c1cccc2nc(CCO)n(C(C)(C)C)c12,12.595100,1,labels
CCN(C(=O)Cn1nc(-c2ccc(F)cc2)oc1=O)C1CC1,12.592200,1,labels
Cn1nccc1NC(=O)Cn1ccc(-c2ccc(F)c(F)c2)n1,12.591400,1,labels
N#Cc1ccc(OCc2ccc(C(=O)N3CCCC3)cc2)cc1F,12.590200,0,static
O=C(NCC(F)(F)F)C1CCN(C(=O)c2ccc[nH]c2=O)CC1,12.589400,1,labels
O=c1[nH]c(Cn2nc3ccccn3c2=O)nc2cc(F)ccc12,12.589100,1,labels
CN1CC(NC(=O)C2(c3ccc(F)cc3F)CCCC2)CCC1=O,12.587600,1,labels
CCCN(CCC)C(=O)C1CN(C(=O)c2cc(C)on2)C1,12.585900,1,labels
CCc1nc2n(n1)CCCC2NC(=O)C1Cc2ccccc2C(=O)O1,12.584800,1,labels
CCN(CC)C(=O)C12CCC(C)(c3nc(C#N)c(C#N)nc31)C2(C)C,12.583900,1,labels
Cn1nccc1C(=O)NCC1(c2ccccc2)CC1,12.581900,1,labels
COCCNC(=O)C1=C(C)C(=O)OC12CCN(C(C)=O)CC2,12.577400,1,labels
CCOC(=O)C1(C)Oc2cccnc2N(CC)C1=O,12.577100,1,labels
CC1(C)CN(c2ccc(C(F)(F)F)cc2N)C1=O,12.576100,1,labels
Cc1ccc2ncc(C(=O)NCc3n[nH]c(=O)[nH]3)n2c1,12.573400,1,labels
COC(=O)C1CCN(C(=O)CNC(=O)c2ccccc2)CC1,12.573100,1,labels
O=C(CC1CCc2ccccc21)N1CCC(F)(F)CC1,12.571600,1,labels
COC(=O)c1ccc(C(=O)NCC(O)(c2ccco2)C2CC2)cc1,12.571500,1,labels
CC(C)c1noc(CCC(=O)N(CC(N)=O)C2CCCC2)n1,12.571400,1,labels
O=C(OCC1CCCCO1)c1coc(-c2ccccc2)n1,12.569600,1,labels
Fc1ccc(-c2nnn(Cc3nc(Cc4ccccc4)n[nH]3)n2)cc1,12.568600,1,labels
Cc1nc2ncnn2c(C)c1CCC(=O)NCCCO,12.567800,0,static
CCOC(=O)CC1CCCCN1C(=O)CCn1nnnc1C,12.567100,1,labels
O=C(Nc1ccc2c(c1)OCCO2)c1cc(F)c(F)c(F)c1F,12.566500,1,labels
Cc1cc(CN(C)C(=O)C2CC(=O)N(C)C2)no1,12.563700,1,random
COCc1cc(=O)[nH]c(Nc2cc(C)ccc2F)n1,12.562400,1,labels
Cc1c(C(=O)N2CCCC2)oc2c1C(=O)CC(C)(C)C2,12.562000,1,labels
O=C(NCCNc1nnnn1-c1ccccc1)c1cc(F)cc(F)c1,12.561600,1,labels
COCCCC1CCCN(C(=O)c2ccccc2C(F)(F)F)C1,12.561300,1,labels
CCC1(C(=O)NCC(C)(C)c2ccccc2)COC1,12.557200,1,labels
Cc1cccc(C=Cc2nc(-c3ccc(C#N)cn3)no2)c1,12.556500,1,random
OCC(Nc1ncnc2cc(F)c(F)cc12)c1ccccc1,12.555300,1,labels
O=C(CCc1nc(-c2cccnc2)no1)Oc1ccccc1F,12.555200,1,labels
CN(Cc1nccn1C(F)F)C(=O)C12CC3CC(CC(C3)C1)C2,12.555000,1,labels
Cc1noc(C)c1CC(=O)N1CCN(C(=O)c2ccco2)CC1,12.554300,1,labels
COc1ccc(F)cc1C(C#N)CCC(=O)NC(C)(C)C,12.553400,1,labels
CC(=O)c1cc(C(=O)N2CCCC(c3nc(C)no3)C2)n(C)c1,12.552600,1,random
O=C(NCC1CCCO1)Nc1cc(C(F)(F)F)c[nH]c1=O,12.551300,1,labels
CCc1nnc(COC(=O)c2[nH]c(C)c(C(C)=O)c2C)o1,12.550500,1,labels
CCC(Oc1ccccc1)C(=O)Nc1ccccc1C#N,12.549900,1,labels
Cn1cc(NC(=O)Nc2ccc(F)c(F)c2F)cn1,12.547000,1,labels
C=CCNC(=O)CCc1nc(-c2cc3ccccc3[nH]c2=O)no1,12.546300,1,labels
O=C(Nc1ccccc1C(F)(F)F)C1CCN(C(=O)C2CC2)CC1,12.545900,1,labels
CCOC(=O)C1=C(C)C(C(=O)Nc2ccccc2)C(C)=N1,12.545700,1,labels
O=C(NCc1ccccc1)c1nnn2c1c(=O)[nH]c1ccccc12,12.542200,1,labels
CCCOC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12,12.542000,1,labels
CCN(CC)C(=O)CCCC(O)c1ccc(F)cc1,12.541800,1,labels
CC(C)Cn1cnc2c([nH]c3ccc(F)cc32)c1=O,12.539500,1,random
COc1ccccc1-c1nnc(NC(=O)c2cccc(F)c2)o1,12.538700,1,labels
CCN(CC)C(=O)c1cc2ccc(OC)cc2oc1=O,12.538000,1,labels
CN(Cc1ccc(C(N)=O)cc1)C(=O)C1CCOC1,12.537600,1,labels
CC1CCc2nn(CC(=O)Nc3cccc(F)c3)c(=O)cc2C1,12.536500,1,labels
O=C1CN(C(=O)CCC2CCCC2)c2ccccc2N1,12.534700,1,labels
O=C(NC(c1ccccc1)C1CCC1)c1ccncc1F,12.533600,1,labels
Cc1nc(C2CCCN(C(=O)c3ccoc3C)C2)no1,12.531400,1,labels
CCC(=O)c1ccc(OCc2nc(-c3ccc(C#N)cn3)no2)cc1,12.530400,1,random
CCOC(=O)C1OC(=O)c2cc(OC)c(OC)c(OC)c21,12.530100,1,labels
O=C(c1ccccc1-c1nc(-c2ccccc2)no1)N1CCCC1,12.527900,1,labels
CN(CC(=O)NC1CC1)C(=O)c1ccc(-n2ccnn2)cc1,12.524800,1,labels
c1cc2c(cc1-c1nc(C3CCOC3)no1)OCO2,12.522700,1,labels
COCc1ccccc1C(=O)OCCN1CCCC1=O,12.521900,1,labels
CCNC(=O)CN(CC)C(=O)C(C)Oc1ccc(C#N)cc1,12.519000,1,labels
Cc1cc(NC(=O)C2CC3CCC2O3)ccc1C(=O)OC(C)(C)C,12.518200,1,labels
CC(C)(C)OC(=O)NCc1ccnc(-n2ccnc2)c1,12.518100,0,static
CCOC(=O)c1ccc(Oc2ncnc3[nH]cnc23)cc1,12.517000,1,random
COCCCC(=O)Nc1cc(F)c(OC)c(F)c1,12.516300,1,labels
CCC1CCCN(C(=O)c2cc(F)ccc2OC)C1,12.513700,1,labels
CC(C)NC(=O)c1nnn(-c2ccccc2)c1-c1ccccc1,12.512500,1,labels
CCC1C(=O)NCCN1C(=O)c1ccn(-c2ccc(F)cc2)n1,12.512400,1,labels
O=C(c1ccc(=O)n(Cc2ccc(F)cc2)n1)N1CCCCC1,12.511300,1,labels
Cc1ccc(C(=O)CNC(=O)c2ccc(F)cc2)c(C)c1,12.511000,1,labels
Cc1ccc(C(=O)c2ccccc2C(=O)NCCO)cc1,12.510600,1,labels
CCOC(=O)c1cc(C(=O)OC)n2ccc3ccccc3c12,12.510500,1,labels
COC(=O)c1cccc(OCC(=O)N(C)C2CC2)c1,12.508700,1,labels
COCc1ccccc1NC(=O)c1cc(C(C)(C)C)nn1C,12.507400,1,random
CCOC(=O)c1noc2nc(C)nc(NC3CCCC3)c12,12.505900,1,labels
O=C(CNC(=O)c1ccco1)OCC(=O)c1ccc2ccccc2c1,12.505300,1,labels
CCOc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1F,12.505300,1,labels
O=C(NCc1ccccn1)c1cnn(-c2ccccc2)c1C(F)(F)F,12.504400,1,labels
Cc1cc(CNC(=O)NCC(O)c2cccc(F)c2)no1,12.503800,1,labels
CC1(C)CCCN1C(=O)C1CC1c1ccccc1F,12.503300,1,labels
CC(OC(=O)c1ccoc1)C(=O)N1CCc2ccccc2C1,12.503300,1,random
Cc1ccc(C(=O)N2CCCCCC2c2noc(C)n2)o1,12.500500,1,labels
COC1CCCCC1NC(=O)N1CCC(O)(C(F)(F)F)CC1,12.499000,1,labels
CCc1nc(COc2cc(C(N)=O)ccc2C)no1,12.496400,1,labels
COc1ccc(-c2cc(=O)oc3cc(O)ccc23)cc1,12.495800,1,labels
Cc1n[nH]c(=O)c(C(=O)Nc2ccccc2F)c1C,12.494600,1,random
Cn1nc2c(c1C(=O)Nc1ccccc1F)CCCC2,12.494500,1,labels
CCc1noc(CC)c1CNC(=O)Nc1c(C)noc1CC,12.493800,1,labels
Cc1cc(C)c(C(=O)NCC(=O)OCC2CC2)c(C)c1,12.492200,1,random
